City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Chernyshevskiy,RU,63.0128,112.4714,16.72,97,90,5.12,overcast clouds
306,Belaya Kholunitsa,RU,58.84,50.8528,42.91,79,100,11.65,overcast clouds
307,Gazanjyk,TM,39.2446,55.5154,62.69,15,0,12.82,clear sky
308,Vallenar,CL,-28.5708,-70.7581,76.68,24,0,10.47,clear sky
309,Vila,PT,42.0304,-8.1588,56.7,76,100,4.23,overcast clouds
310,Haines Junction,CA,60.7522,-137.5108,22.53,71,32,1.79,scattered clouds
311,Nakatunguru,TZ,-2.1167,33.0667,76.64,69,85,10.63,overcast clouds
312,Darovskoy,RU,58.77,47.9564,43.66,81,100,12.41,light rain
313,Bud,US,39.447,-86.1758,59.13,55,0,15.14,clear sky
314,Kolobrzeg,PL,54.1757,15.5834,47.97,100,97,18.99,light rain
315,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,97.68,37,95,5.5,overcast clouds
316,Kununurra,AU,-15.7667,128.7333,76.98,83,61,8.05,broken clouds
317,Woodway,US,31.506,-97.205,71.19,35,1,5.01,clear sky
318,Padang,ID,-0.9492,100.3543,78.85,82,100,2.73,overcast clouds
319,Quang Ngai,VN,15.1167,108.8,77.9,96,100,15.99,moderate rain
320,Omsukchan,RU,62.5333,155.8,1.89,94,100,5.44,overcast clouds
321,Nemuro,JP,43.3236,145.575,53.65,94,100,22.91,light rain
322,Carolina,PR,18.3808,-65.9574,88.86,72,40,9.22,scattered clouds
323,Belaya Gora,RU,68.5333,146.4167,6.76,96,84,5.03,broken clouds
324,Ambilobe,MG,-13.2,49.05,76.17,57,0,9.78,clear sky
325,Pinawa,CA,50.1489,-95.8811,49.82,58,0,8.19,clear sky
326,Zuya,UA,45.0531,34.3154,56.75,73,100,5.53,overcast clouds
327,Ferrol,ES,43.4832,-8.2369,63.59,84,100,7.43,light rain
328,Novaya Igirma,RU,57.1334,103.9112,34.09,98,100,6.98,light rain
329,The Valley,AI,18.217,-63.0578,89.46,72,38,3.56,scattered clouds
330,Vostok,RU,46.4856,135.8833,19.22,86,99,11.63,light snow
331,Turbat,PK,26.0023,63.044,83.59,8,0,10.69,clear sky
332,Poronaysk,RU,49.2167,143.1167,36.03,75,97,20.56,overcast clouds
333,Cunha,BR,-23.0744,-44.9597,72.27,82,78,5.97,broken clouds
334,Savannah Bight,HN,16.45,-85.85,87.85,70,8,6.06,clear sky
335,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,78,75,16.11,broken clouds
336,Karema,TZ,-6.8205,30.4389,78.8,70,28,7.99,scattered clouds
337,Gomez Plata,CO,6.6818,-75.2191,73.18,69,100,0.36,overcast clouds
338,Benguela,AO,-12.5763,13.4055,73.29,75,16,7.81,few clouds
339,Virginia Beach,US,36.8529,-75.978,84.25,62,20,16.11,few clouds
340,Hambantota,LK,6.1241,81.1185,80.53,80,97,19.35,overcast clouds
341,Marsa Matruh,EG,31.3525,27.2453,72.72,58,0,11.12,clear sky
342,Pangnirtung,CA,66.1451,-65.7125,35.13,55,2,2.91,clear sky
343,Srednekolymsk,RU,67.45,153.6833,4.82,99,94,6.49,overcast clouds
344,Tombouctou,ML,20.0,-3.0,97.27,7,35,6.15,scattered clouds
